Rank,stock,p,q,AIC
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
"37" "ACGL"
"38" "ACGL"
"39" "ACGL"
"40" "ACGL"
"41" "ACGL"
"42" "ACGL"
"43" "ACGL"
"44" "ACGL"
"45" "ACGL"
"46" "ACGL"
"47" "ACGL"
"48" "ACGL"
"49" "ACGL"
"50" "ACGL"
"51" "ACGL"
"52" "ACGL"
"53" "ACGL"
"54" "ACGL"
"55" "ACGL"
"56" "ACGL"
"57" "ACGL"
"58" "ACGL"
"59" "ACGL"
"60" "ACGL"
"61" "ACGL"
"62" "ACGL"
"63" "ACGL"
"64" "ACGL"
"65" "ACGL"
"66" "ACGL"
"67" "ACGL"
"68" "ACGL"
"69" "ACGL"
"70" "ACGL"
"71" "ACGL"
"72" "ACGL"
"73" "ACGL"
"74" "ACGL"
"75" "ACGL"
"76" "ACGL"
"77" "ACGL"
"78" "ACGL"
"79" "ACGL"
"80" "ACGL"
"81" "ACGL"
"82" "ACGL"
"83" "ACGL"
"84" "ACGL"
"85" "ACGL"
"86" "ACGL"
"87" "ACGL"
"88" "ACGL"
"89" "ACGL"
"90" "ACGL"
"91" "ACGL"
"92" "ACGL"
"93" "ACGL"
"94" "ACGL"
"95" "ACGL"
"96" "ACGL"
"97" "ACGL"
"98" "ACGL"
"99" "ACGL"
"100" "ACGL"
"x"
"1" "ACGL"
"2" "ACGL"
"3" "ACGL"
"4" "ACGL"
"5" "ACGL"
"6" "ACGL"
"7" "ACGL"
"8" "ACGL"
"9" "ACGL"
"10" "ACGL"
"11" "ACGL"
"12" "ACGL"
"13" "ACGL"
"14" "ACGL"
"15" "ACGL"
"16" "ACGL"
"17" "ACGL"
"18" "ACGL"
"19" "ACGL"
"20" "ACGL"
"21" "ACGL"
"22" "ACGL"
"23" "ACGL"
"24" "ACGL"
"25" "ACGL"
"26" "ACGL"
"27" "ACGL"
"28" "ACGL"
"29" "ACGL"
"30" "ACGL"
"31" "ACGL"
"32" "ACGL"
"33" "ACGL"
"34" "ACGL"
"35" "ACGL"
"36" "ACGL"
